,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
416,1/2/2016 18:00,1/2/2016 13:00,Wind,2050.9,0.03,TRUE,1/2/2016 13:00,13,2,1,2016
421,1/2/2016 19:00,1/2/2016 14:00,Hydro,650.6,0.01,TRUE,1/2/2016 14:00,14,2,1,2016
423,1/2/2016 19:00,1/2/2016 14:00,Solar,44.8,0,TRUE,1/2/2016 14:00,14,2,1,2016
425,1/2/2016 19:00,1/2/2016 14:00,Other Renewables,552.6,0,TRUE,1/2/2016 14:00,14,2,1,2016
426,1/2/2016 19:00,1/2/2016 14:00,Wind,2099.1,0.03,TRUE,1/2/2016 14:00,14,2,1,2016
431,1/2/2016 20:00,1/2/2016 15:00,Hydro,646.4,0.01,TRUE,1/2/2016 15:00,15,2,1,2016
435,1/2/2016 20:00,1/2/2016 15:00,Other Renewables,551.4,0,TRUE,1/2/2016 15:00,15,2,1,2016
436,1/2/2016 20:00,1/2/2016 15:00,Solar,18.1,0,TRUE,1/2/2016 15:00,15,2,1,2016
438,1/2/2016 20:00,1/2/2016 15:00,Wind,2207.5,0.03,TRUE,1/2/2016 15:00,15,2,1,2016
443,1/2/2016 21:00,1/2/2016 16:00,Hydro,652.7,0.01,TRUE,1/2/2016 16:00,16,2,1,2016
445,1/2/2016 21:00,1/2/2016 16:00,Solar,0,0,TRUE,1/2/2016 16:00,16,2,1,2016
449,1/2/2016 21:00,1/2/2016 16:00,Other Renewables,560.9,0,TRUE,1/2/2016 16:00,16,2,1,2016
450,1/2/2016 21:00,1/2/2016 16:00,Wind,2157.8,0.03,TRUE,1/2/2016 16:00,16,2,1,2016
453,1/2/2016 22:00,1/2/2016 17:00,Hydro,1525.7,0.02,TRUE,1/2/2016 17:00,17,2,1,2016
457,1/2/2016 22:00,1/2/2016 17:00,Other Renewables,569.4,0,TRUE,1/2/2016 17:00,17,2,1,2016
458,1/2/2016 22:00,1/2/2016 17:00,Solar,0,0,TRUE,1/2/2016 17:00,17,2,1,2016
460,1/2/2016 22:00,1/2/2016 17:00,Wind,2389.6,0.03,TRUE,1/2/2016 17:00,17,2,1,2016
464,1/2/2016 23:00,1/2/2016 18:00,Hydro,1245.7,0.01,TRUE,1/2/2016 18:00,18,2,1,2016
468,1/2/2016 23:00,1/2/2016 18:00,Other Renewables,578.2,0,TRUE,1/2/2016 18:00,18,2,1,2016
469,1/2/2016 23:00,1/2/2016 18:00,Solar,0,0,TRUE,1/2/2016 18:00,18,2,1,2016
471,1/2/2016 23:00,1/2/2016 18:00,Wind,2988.6,0.03,TRUE,1/2/2016 18:00,18,2,1,2016
475,1/3/2016 0:00,1/2/2016 19:00,Hydro,944.9,0.01,TRUE,1/2/2016 19:00,19,2,1,2016
479,1/3/2016 0:00,1/2/2016 19:00,Other Renewables,586.8,0,TRUE,1/2/2016 19:00,19,2,1,2016
480,1/3/2016 0:00,1/2/2016 19:00,Solar,0,0,TRUE,1/2/2016 19:00,19,2,1,2016
482,1/3/2016 0:00,1/2/2016 19:00,Wind,3504.2,0.04,TRUE,1/2/2016 19:00,19,2,1,2016
487,1/3/2016 1:00,1/2/2016 20:00,Hydro,959.6,0.01,TRUE,1/2/2016 20:00,20,2,1,2016
489,1/3/2016 1:00,1/2/2016 20:00,Solar,0,0,TRUE,1/2/2016 20:00,20,2,1,2016
492,1/3/2016 1:00,1/2/2016 20:00,Wind,3956.4,0.04,TRUE,1/2/2016 20:00,20,2,1,2016
493,1/3/2016 1:00,1/2/2016 20:00,Other Renewables,572.9,0,TRUE,1/2/2016 20:00,20,2,1,2016
497,1/3/2016 2:00,1/2/2016 21:00,Hydro,750.4,0.01,TRUE,1/2/2016 21:00,21,2,1,2016
501,1/3/2016 2:00,1/2/2016 21:00,Other Renewables,569.7,0,TRUE,1/2/2016 21:00,21,2,1,2016
502,1/3/2016 2:00,1/2/2016 21:00,Solar,0,0,TRUE,1/2/2016 21:00,21,2,1,2016
504,1/3/2016 2:00,1/2/2016 21:00,Wind,4038.2,0.05,TRUE,1/2/2016 21:00,21,2,1,2016
508,1/3/2016 3:00,1/2/2016 22:00,Hydro,576.7,0.01,TRUE,1/2/2016 22:00,22,2,1,2016
512,1/3/2016 3:00,1/2/2016 22:00,Other Renewables,556,0,TRUE,1/2/2016 22:00,22,2,1,2016
513,1/3/2016 3:00,1/2/2016 22:00,Solar,0,0,TRUE,1/2/2016 22:00,22,2,1,2016
515,1/3/2016 3:00,1/2/2016 22:00,Wind,3924.2,0.05,TRUE,1/2/2016 22:00,22,2,1,2016
519,1/3/2016 4:00,1/2/2016 23:00,Hydro,595.1,0.01,TRUE,1/2/2016 23:00,23,2,1,2016
523,1/3/2016 4:00,1/2/2016 23:00,Other Renewables,568.2,0,TRUE,1/2/2016 23:00,23,2,1,2016
524,1/3/2016 4:00,1/2/2016 23:00,Solar,0,0,TRUE,1/2/2016 23:00,23,2,1,2016
526,1/3/2016 4:00,1/2/2016 23:00,Wind,3839.3,0.05,TRUE,1/2/2016 23:00,23,2,1,2016
530,1/3/2016 5:00,1/3/2016 0:00,Hydro,679.5,0.01,TRUE,1/3/2016 0:00,0,3,1,2016
534,1/3/2016 5:00,1/3/2016 0:00,Wind,3889.8,0.05,TRUE,1/3/2016 0:00,0,3,1,2016
537,1/3/2016 5:00,1/3/2016 0:00,Other Renewables,565,0,TRUE,1/3/2016 0:00,0,3,1,2016
538,1/3/2016 5:00,1/3/2016 0:00,Solar,0,0,TRUE,1/3/2016 0:00,0,3,1,2016
541,1/3/2016 6:00,1/3/2016 1:00,Hydro,612.7,0.01,TRUE,1/3/2016 1:00,1,3,1,2016
545,1/3/2016 6:00,1/3/2016 1:00,Other Renewables,557.9,0,TRUE,1/3/2016 1:00,1,3,1,2016
546,1/3/2016 6:00,1/3/2016 1:00,Solar,0,0,TRUE,1/3/2016 1:00,1,3,1,2016
548,1/3/2016 6:00,1/3/2016 1:00,Wind,3651.1,0.05,TRUE,1/3/2016 1:00,1,3,1,2016
552,1/3/2016 7:00,1/3/2016 2:00,Hydro,617.1,0.01,TRUE,1/3/2016 2:00,2,3,1,2016
556,1/3/2016 7:00,1/3/2016 2:00,Other Renewables,574.6,0.01,TRUE,1/3/2016 2:00,2,3,1,2016
557,1/3/2016 7:00,1/3/2016 2:00,Solar,0,0,TRUE,1/3/2016 2:00,2,3,1,2016
559,1/3/2016 7:00,1/3/2016 2:00,Wind,3451.1,0.04,TRUE,1/3/2016 2:00,2,3,1,2016
563,1/3/2016 8:00,1/3/2016 3:00,Hydro,641.8,0.01,TRUE,1/3/2016 3:00,3,3,1,2016
567,1/3/2016 8:00,1/3/2016 3:00,Other Renewables,565.6,0.01,TRUE,1/3/2016 3:00,3,3,1,2016
568,1/3/2016 8:00,1/3/2016 3:00,Solar,0,0,TRUE,1/3/2016 3:00,3,3,1,2016
570,1/3/2016 8:00,1/3/2016 3:00,Wind,3366.2,0.04,TRUE,1/3/2016 3:00,3,3,1,2016
574,1/3/2016 9:00,1/3/2016 4:00,Hydro,654.3,0.01,TRUE,1/3/2016 4:00,4,3,1,2016
578,1/3/2016 9:00,1/3/2016 4:00,Other Renewables,570.7,0.01,TRUE,1/3/2016 4:00,4,3,1,2016
579,1/3/2016 9:00,1/3/2016 4:00,Solar,0,0,TRUE,1/3/2016 4:00,4,3,1,2016
581,1/3/2016 9:00,1/3/2016 4:00,Wind,3059,0.04,TRUE,1/3/2016 4:00,4,3,1,2016
585,1/3/2016 10:00,1/3/2016 5:00,Hydro,656.8,0.01,TRUE,1/3/2016 5:00,5,3,1,2016
589,1/3/2016 10:00,1/3/2016 5:00,Other Renewables,584.3,0.01,TRUE,1/3/2016 5:00,5,3,1,2016
590,1/3/2016 10:00,1/3/2016 5:00,Solar,0,0,TRUE,1/3/2016 5:00,5,3,1,2016
592,1/3/2016 10:00,1/3/2016 5:00,Wind,2549.6,0.03,TRUE,1/3/2016 5:00,5,3,1,2016
597,1/3/2016 11:00,1/3/2016 6:00,Hydro,596.6,0.01,TRUE,1/3/2016 6:00,6,3,1,2016
599,1/3/2016 11:00,1/3/2016 6:00,Wind,2322,0.03,TRUE,1/3/2016 6:00,6,3,1,2016
601,1/3/2016 11:00,1/3/2016 6:00,Other Renewables,553.9,0,TRUE,1/3/2016 6:00,6,3,1,2016
602,1/3/2016 11:00,1/3/2016 6:00,Solar,0,0,TRUE,1/3/2016 6:00,6,3,1,2016
608,1/3/2016 12:00,1/3/2016 7:00,Hydro,586.1,0.01,TRUE,1/3/2016 7:00,7,3,1,2016
